Riding.code	Riding	Province	Riding.history	Parliament.no	Term	Id.2	Id	Name	Party.Name	Occupation	Religion	French	Length	switch.check	Ministry	Secretary	Change.party	Temporary.suspended.caucus	Excluded.caucus	Quit.caucus	First.Nations	Country.of.Birth	Note1	Note2	vote.id	H20S1V001	H20S1V002	H20S1V003	H20S1V004	H20S1V005	H20S1V006	H20S1V007	H20S1V008	H20S1V009	H20S1V010	H20S1V011	H20S1V012	H20S1V013	H20S1V014	H20S1V015	H20S1V016	H20S1V017	H20S1V018	H20S1V019	H20S1V020	H20S1V021	H20S1V022	H20S2V001	H20S2V002	H20S2V003	H20S2V004	H20S2V005	H20S2V006	H20S2V007	H20S2V008	H20S2V009	H20S2V010	H20S2V011	H20S2V012	H20S2V013	H20S2V014	H20S2V015	H20S2V016	H20S2V017	H20S2V018	H20S2V019	H20S2V020	H20S2V021	H20S2V022	H20S2V023	H20S2V024	H20S2V025	H20S2V026	H20S2V027	H20S2V028	H20S2V029	H20S2V030	H20S3V001	H20S3V002	H20S3V003	H20S3V004	H20S3V005	H20S3V006	H20S3V007	H20S3V008	H20S3V009	H20S3V010	H20S3V011	H20S3V012	H20S3V013	H20S3V014	H20S3V015	H20S3V016	H20S3V017	H20S3V018	H20S3V019	H20S3V020	H20S3V021	H20S3V022	H20S3V023	H20S3V024	H20S3V025	H20S3V026	H20S3V027	H20S3V028	H20S3V029	H20S3V030	H20S3V031	H20S4V001	H20S4V002	H20S4V003	H20S4V004	H20S4V005	H20S4V006	H20S4V007	H20S4V008	H20S4V009	H20S4V010	H20S4V011	H20S4V012	H20S4V013	H20S4V014	H20S4V015	H20S4V016	H20S4V017	H20S4V018	H20S4V019	H20S4V020	H20S4V021	H20S4V022	H20S4V023	H20S4V024	H20S4V025	H20S4V026	H20S4V027	H20S4V028	H20S4V029	H20S4V030	H20S4V031	H20S4V032	H20S4V033	H20S4V034	H20S4V035	H20S4V036	H20S4V037	H20S4V038	H20S4V039	H20S4V040	H20S4V041	H20S4V042	H20S4V043	H20S5V001	H20S5V002	H20S5V003	H20S5V004	H20S5V005	H20S5V006	H20S5V007	H20S5V008	H20S5V009	H20S5V010	H20S5V011	H20S5V012	H20S5V013	H20S5V014	H20S5V015	H20S5V016	H20S5V017	H20S5V018	H20S5V019	H20S5V020	H20S5V021	H20S5V022	H20S5V023	H20S5V024	H20S5V025	H20S5V026
	""	""	""		""		""	""	""	""											""	""	""		"Date"	"09.20.1945"	"09.25.1945"	"09.27.1945"	"09.27.1945"	"10.15.1945"	"10.18.1945"	"10.31.1945"	"11.07.1945"	"11.08.1945"	"11.09.1945"	"11.13.1945"	"11.14.1945"	"11.14.1945"	"11.14.1945"	"11.28.1945"	"11.28.1945"	"12.07.1945"	"12.07.1945"	"12.07.1945"	"12.10.1945"	"12.11.1945"	"12.14.1945"	"03.26.1946"	"03.26.1946"	"03.27.1946"	"04.04.1946"	"04.04.1946"	"04.04.1946"	"04.04.1946"	"05.01.1946"	"05.07.1946"	"05.16.1946"	"05.22.1946"	"05.24.1946"	"05.24.1946"	"06.04.1946"	"06.05.1946"	"06.05.1946"	"06.20.1946"	"06.20.1946"	"07.17.1946"	"07.18.1946"	"07.23.1946"	"07.23.1946"	"07.25.1946"	"08.01.1946"	"08.13.1946"	"08.17.1946"	"08.20.1946"	"08.22.1946"	"08.22.1946"	"08.27.1946"	"02.10.1947"	"02.14.1947"	"02.24.1947"	"03.07.1947"	"03.12.1947"	"03.12.1947"	"03.13.1947"	"03.13.1947"	"03.14.1947"	"03.14.1947"	"03.17.1947"	"03.18.1947"	"03.18.1947"	"03.20.1947"	"03.25.1947"	"03.31.1947"	"04.01.1947"	"04.15.1947"	"04.16.1947"	"05.26.1947"	"05.27.1947"	"05.27.1947"	"05.28.1947"	"06.06.1947"	"06.24.1947"	"06.25.1947"	"07.02.1947"	"07.07.1947"	"07.08.1947"	"07.10.1947"	"07.16.1947"	"12.08.1947"	"12.12.1947"	"12.17.1947"	"01.30.1948"	"02.03.1948"	"02.04.1948"	"02.10.1948"	"02.10.1948"	"02.24.1948"	"02.24.1948"	"02.25.1948"	"03.04.1948"	"03.05.1948"	"03.05.1948"	"03.05.1948"	"03.09.1948"	"03.10.1948"	"03.11.1948"	"03.15.1948"	"03.19.1948"	"03.19.1948"	"03.22.1948"	"03.23.1948"	"03.24.1948"	"03.24.1948"	"03.24.1948"	"04.09.1948"	"04.22.1948"	"04.22.1948"	"04.27.1948"	"04.30.1948"	"05.06.1948"	"05.11.1948"	"05.12.1948"	"05.20.1948"	"05.27.1948"	"05.27.1948"	"06.02.1948"	"06.08.1948"	"06.22.1948"	"06.23.1948"	"06.26.1948"	"06.26.1948"	"01.28.1949"	"02.01.1949"	"02.15.1949"	"02.15.1949"	"02.16.1949"	"02.22.1949"	"03.09.1949"	"03.09.1949"	"03.11.1949"	"03.11.1949"	"03.11.1949"	"03.14.1949"	"03.16.1949"	"03.22.1949"	"03.22.1949"	"03.23.1949"	"03.24.1949"	"03.25.1949"	"03.28.1949"	"03.29.1949"	"03.29.1949"	"04.26.1949"	"04.27.1949"	"04.29.1949"	"04.29.1949"	"04.29.1949"
435	"MEGANTIC--FRONTENAC"	"Quebec"	"1933 - 1947"	20	"1945.06.11"	4	"00c17079-36dc-46eb-a604-2005766e7fd3"	"LAFONTAINE, Joseph"	"Liberal Party of Canada"	"Gentleman, merchant"		1	2								""	""	""		""	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"1"	"2"	"2"	"1"	"2"	"1"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"1"	"1"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"1"	"2"	"2"	"9"	"1"	"2"	"1"	"2"	"2"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"2"	"2"	"1"	"2"	"1"	"1"	"2"	"1"	"2"	"1"	"2"	"2"	"1"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"9"	"1"	"1"	"2"	"2"	"2"	"1"	"2"	"9"	"1"	"2"	"1"	"1"	"9"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"2"	"1"
785	"VICTORIA--CARLETON"	"New Brunswick"	"1914 - 1966"	20	"1945.06.11"	43	"03eca6e3-c9b0-41b0-b629-acdef1b2c676"	"HATFIELD, Heber Harold"	"Progressive Conservative Party"	"Farmer, produce dealer"		0	2								""	""	""		""	"9"	"1"	"9"	"9"	"9"	"9"	"1"	"9"	"9"	"9"	"2"	"1"	"1"	"9"	"9"	"9"	"2"	"9"	"9"	"1"	"9"	"9"	"2"	"1"	"9"	"1"	"2"	"2"	"9"	"9"	"9"	"2"	"1"	"9"	"9"	"2"	"1"	"1"	"9"	"9"	"9"	"9"	"1"	"2"	"9"	"9"	"9"	"9"	"1"	"1"	"9"	"9"	"2"	"9"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"9"	"1"	"1"	"2"	"9"	"9"	"9"	"2"	"1"	"2"	"1"	"9"	"2"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"1"	"2"	"2"	"1"	"9"	"9"	"2"	"2"	"9"	"9"	"1"	"9"	"9"	"9"	"1"	"1"	"1"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"1"	"9"	"1"	"1"	"9"	"9"	"1"	"2"	"9"	"2"	"2"	"2"	"2"	"9"	"2"	"9"	"9"	"2"	"2"	"9"	"2"	"2"	"1"
675	"SELKIRK"	"Manitoba"	"1871 - 1976"	20	"1945.06.11"	45	"040a15b2-afa7-4a8f-94a1-f838f850daa7"	"BRYCE, William"	"Co-operative Commonwealth Federation"	"Farmer"		0	2								""	"Scotland"	""		""	"1"	"2"	"1"	"1"	"1"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"9"	"2"	"9"	"9"	"9"	"9"	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"2"	"1"	"1"	"9"	"9"	"1"	"2"	"2"	"9"	"1"	"9"	"9"	"9"	"1"	"2"	"2"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"1"	"2"	"1"	"1"	"2"	"9"	"2"	"2"	"2"	"1"	"1"	"9"	"9"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"9"	"2"	"9"	"1"	"1"	"1"	"9"	"1"	"1"	"9"	"9"	"9"	"9"	"1"	"1"	"2"	"2"	"1"	"1"	"2"	"1"	"2"	"2"	"2"	"9"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"9"	"1"	"1"	"1"
413	"MACKENZIE"	"Saskatchewan"	"1905 - 1996"	20	"1945.06.11"	49	"043d4584-7dd8-4eff-b97a-e5b8349d44d6"	"NICHOLSON, Alexander Malcolm"	"Co-operative Commonwealth Federation"	"Clergyperson, farmer"		0	2								""	""	""		""	"9"	"2"	"1"	"1"	"1"	"1"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"2"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"2"	"2"	"9"	"9"	"9"	"9"	"1"	"1"	"1"	"1"	"9"	"9"	"1"	"2"	"2"	"2"	"1"	"1"	"1"	"9"	"9"	"9"	"1"	"2"	"1"	"1"	"2"	"2"	"1"	"1"	"2"	"9"	"1"	"2"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"1"	"9"	"9"	"9"	"9"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"1"	"2"	"1"	"2"	"2"	"2"	"1"	"1"	"1"	"2"	"1"	"1"	"9"	"9"	"9"	"1"	"1"	"1"	"1"	"9"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"9"	"9"	"9"	"1"	"1"	"2"	"2"	"1"	"1"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"1"
284	"HIGH PARK"	"Ontario"	"1933 - 1972"	20	"1945.06.11"	57	"04ff51e6-2d81-46d9-96be-43df0ab775ea"	"MCMASTER, William Alexander"	"Progressive Conservative Party"	"Lawyer"		0	1								""	""	""		""	"2"	"1"	"1"	"1"	"9"	"1"	"1"	"1"	"2"	"9"	"2"	"1"	"1"	"9"	"2"	"1"	"2"	"9"	"9"	"9"	"1"	"1"	"2"	"9"	"2"	"1"	"2"	"2"	"2"	"1"	"9"	"9"	"1"	"2"	"1"	"9"	"1"	"1"	"9"	"9"	"9"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"9"	"9"	"9"	"9"	"2"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"1"	"2"	"1"	"9"	"9"	"9"	"2"	"2"	"9"	"1"	"1"	"2"	"9"	"2"	"1"	"2"	"9"	"2"	"1"	"9"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"9"	"9"	"1"	"2"	"9"	"9"	"9"	"2"	"1"	"2"	"9"	"2"	"1"	"9"	"2"	"1"	"1"	"2"	"1"	"1"	"1"	"9"	"9"	"1"	"9"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"9"	"2"	"2"	"9"	"9"	"2"	"1"	"1"	"2"	"2"	"1"	"2"	"9"	"9"	"2"	"2"	"2"	"2"	"9"	"1"	"2"	"1"	"2"	"2"	"2"	"2"	"1"
123	"CARLETON"	"Ontario"	"1867 - 1966"	20	"1945.06.11-1948.11.01"	64	"0546967c-76fd-436b-84bb-357010213b7f"	"BOUCHER, G. Russell"	"Progressive Conservative Party"	"Barrister"		0	2								""	""	"Resignation. To allow George Drew to run for office: 1948.11.01"		""	"2"	"1"	"1"	"1"	"1"	"1"	"9"	"1"	"9"	"1"	"2"	"1"	"1"	"9"	"2"	"1"	"9"	"9"	"9"	"1"	"1"	"1"	"2"	"1"	"2"	"1"	"2"	"9"	"2"	"9"	"1"	"2"	"1"	"2"	"1"	"2"	"1"	"9"	"1"	"2"	"1"	"2"	"1"	"2"	"2"	"1"	"2"	"9"	"9"	"9"	"1"	"9"	"2"	"9"	"1"	"2"	"2"	"1"	"1"	"1"	"9"	"2"	"1"	"1"	"2"	"9"	"1"	"9"	"9"	"2"	"2"	"9"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"1"	"2"	"2"	"9"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"2"	"2"	"1"	"1"	"2"	"1"	"2"	"2"	"2"	"1"	"1"	"2"	"1"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"9"	"9"	"2"	"9"	"9"	"9"	"2"	"9"	"9"	"9"	"1"	"2"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"
181	"DORCHESTER"	"Quebec"	"1867 - 1966"	20	"1945.06.11"	65	"055d7c35-7ddf-4f01-a2a6-7d3a77420eba"	"TREMBLAY, Leonard-D."	"Liberal Party of Canada"	"Journalist, public servant"		1	3								""	""	""		""	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"9"	"9"	"9"	"1"	"2"	"2"	"1"	"2"	"2"	"1"	"2"	"1"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"1"	"1"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"1"	"1"	"1"	"9"	"9"	"9"	"9"	"1"	"9"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"1"	"2"	"2"	"1"	"1"	"2"	"1"	"9"	"2"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"2"	"2"	"1"	"2"	"1"	"1"	"2"	"1"	"2"	"1"	"2"	"2"	"1"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"9"	"1"	"2"	"2"	"2"	"2"	"9"	"2"	"1"	"1"	"9"	"1"	"1"	"9"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"2"	"1"	"1"	"2"	"1"
796	"WELLINGTON NORTH"	"Ontario"	"1867 - 1952"	20	"1945.06.11"	66	"056e20c4-ba16-41c6-b381-f0ff8257e015"	"MENARY, Lewis"	"Progressive Conservative Party"	"Farmer, merchant"		0	1								""	""	""		""	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"9"	"2"	"1"	"1"	"1"	"2"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"2"	"1"	"2"	"1"	"2"	"2"	"2"	"1"	"9"	"2"	"1"	"9"	"9"	"2"	"1"	"1"	"1"	"2"	"1"	"2"	"1"	"2"	"2"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"9"	"2"	"2"	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"2"	"1"	"1"	"9"	"2"	"2"	"9"	"9"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"9"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"2"	"2"	"1"	"2"	"2"	"1"	"2"	"2"	"2"	"1"	"1"	"2"	"9"	"9"	"9"	"2"	"1"	"1"	"1"	"1"	"9"	"2"	"2"	"2"	"2"	"1"	"2"	"9"	"1"	"2"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"1"	"2"	"2"	"1"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"2"	"2"	"2"	"2"	"2"	"2"	"1"
769	"VEGREVILLE"	"Alberta"	"1924 - 1996"	20	"1945.06.11"	75	"062a59c1-a9b0-4143-b265-a45d56a4303d"	"HLYNKA, Anthony"	"Social Credit"	"Journalist, publisher"		0	2								""	"Ukraine"	""		""	"2"	"2"	"1"	"1"	"1"	"2"	"1"	"1"	"2"	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"1"	"1"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"1"	"9"	"1"	"2"	"9"	"1"	"2"	"2"	"1"	"2"	"2"	"9"	"9"	"9"	"2"	"2"	"1"	"2"	"9"	"9"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"9"	"9"	"9"	"9"	"2"	"1"	"1"	"1"	"2"	"9"	"9"	"1"	"9"	"9"	"9"	"1"	"2"	"2"	"2"	"2"	"9"	"2"	"2"	"1"	"1"	"9"	"1"	"1"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"1"	"2"	"9"	"1"	"1"	"9"	"9"	"9"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"1"	"9"	"9"	"1"	"1"	"2"	"2"	"2"	"1"	"1"	"2"	"1"
486	"NICOLET--YAMASKA"	"Quebec"	"1933 - 1966"	20	"1945.06.11-1948.11.08"	125	"0a6e27b6-9218-4ce6-8954-f49dbf99829f"	"DUBOIS, Lucien"	"Independent Liberal"	"Farmer"		1	4								""	""	"Died in office: 1948.11.08"		""	"2"	"2"	"2"	"2"	"1"	"1"	"9"	"2"	"1"	"9"	"1"	"2"	"2"	"1"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"1"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	"2"	"9"	"1"	"2"	"9"	"9"	"1"	"2"	"2"	"9"	"9"	"2"	"9"	"9"	"9"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"2"	"2"	"9"	"9"	"1"	"9"	"2"	"9"	"1"	"9"	"1"	"9"	"9"	"9"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"9"	"9"	"9"	"9"	"2"	"9"	"2"	"1"	"9"	"1"	"1"	"9"	"9"	"2"	"1"	"2"	"2"	"1"	"2"	"1"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"9"	"1"	"9"	"9"	"2"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"
125	"CARTIER"	"Quebec"	"1924 - 1966"	20	"1947.03.31"	144	"0b918ae7-f48f-4471-b008-dd7d5b2a09b3"	"HARTT, Maurice"	"Liberal Party of Canada"	"Lawyer"		0	1								""	"Roumania"	""		""	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"9"	"1"	"1"	"1"	"2"	"2"	"1"	"9"	"2"	"9"	"1"	"2"	"1"	"2"	"9"	"9"	"9"	"1"	"9"	"1"	"1"	"1"	"1"	"2"	"1"	"2"	"2"	"1"	"2"	"1"	"1"	"2"	"9"	"9"	"9"	"9"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"9"	"9"	"1"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"9"	"9"	"1"	"9"	"1"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"1"	"9"	"9"	"9"	"9"	"9"
595	"REGINA CITY"	"Saskatchewan"	"1933 - 1966"	20	"1945.06.11"	146	"0bb58bfe-4a12-4783-bcd5-741d47c38b5b"	"PROBE, John Oliver"	"Co-operative Commonwealth Federation"	"Teacher"		0	1								""	""	""		""	"1"	"2"	"1"	"1"	"9"	"9"	"1"	"1"	"2"	"9"	"2"	"1"	"1"	"1"	"1"	"2"	"9"	"9"	"9"	"2"	"1"	"1"	"1"	"2"	"9"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"9"	"1"	"2"	"2"	"9"	"9"	"1"	"1"	"2"	"2"	"1"	"9"	"2"	"9"	"1"	"2"	"2"	"1"	"1"	"2"	"1"	"9"	"2"	"1"	"9"	"1"	"2"	"2"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"9"	"1"	"1"	"9"	"1"	"2"	"2"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"1"	"2"	"1"	"2"	"2"	"2"	"1"	"1"	"1"	"2"	"9"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"9"	"9"	"9"	"1"	"9"	"1"	"1"	"9"	"9"	"9"	"9"	"1"	"1"	"2"	"2"	"1"	"9"	"2"	"1"	"2"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"1"
1263	"ST. ANN"	"Quebec"	"1914 - 1947"	20	"1945.06.11"	147	"0bd048a1-0b52-4169-94e1-b0d7cd26d5aa"	"HEALY, Thomas Patrick"	"Liberal Party of Canada"	"Contractor, manager"		0	2								""	""	""		""	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"1"	"9"	"1"	"2"	"2"	"1"	"2"	"9"	"9"	"9"	"9"	"9"	"1"	"9"	"2"	"2"	"2"	"9"	"9"	"9"	"9"	"2"	"1"	"1"	"2"	"9"	"9"	"1"	"2"	"2"	"9"	"9"	"2"	"9"	"2"	"1"	"1"	"9"	"9"	"9"	"2"	"9"	"9"	"9"	"1"	"1"	"2"	"2"	"2"	"2"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"1"	"9"	"9"	"1"	"9"	"2"	"1"	"2"	"2"	"1"	"9"	"9"	"9"	"9"	"1"	"1"	"9"	"2"	"1"	"2"	"2"	"1"	"2"	"1"	"9"	"2"	"1"	"9"	"9"	"9"	"2"	"1"	"2"	"2"	"1"	"9"	"2"	"2"	"9"	"9"	"1"	"9"	"9"	"2"	"2"	"9"	"9"	"9"	"1"	"1"	"9"	"9"	"9"	"1"	"2"	"2"	"1"	"1"	"2"	"2"	"2"	"2"	"1"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"9"	"2"	"1"	"9"	"9"	"9"
263	"HALIFAX"	"Nova Scotia"	"1867 - "	20	"1945.06.11"	163	"0cd180b9-3a82-4810-b0ce-83bc28f5b7c5"	"ISNOR, Gordon B."	"Liberal Party of Canada"	"Merchant"		0	3								""	""	""		""	"2"	"9"	"9"	"9"	"9"	"9"	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"1"	"9"	"9"	"1"	"1"	"1"	"9"	"1"	"1"	"2"	"2"	"2"	"2"	"1"	"1"	"1"	"2"	"1"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"1"	"9"	"9"	"9"	"9"	"9"	"1"	"1"	"2"	"2"	"1"	"1"	"2"	"1"	"1"	"9"	"2"	"2"	"2"	"2"	"1"	"1"	"1"	"9"	"9"	"9"	"1"	"1"	"2"	"9"	"1"	"1"	"1"	"9"	"9"	"9"	"9"	"9"	"9"	"1"	"9"	"9"	"9"	"9"	"1"	"2"	"1"	"9"	"1"	"1"	"1"	"1"	"2"	"1"	"9"	"2"	"1"	"2"	"1"	"1"	"2"	"1"	"2"	"1"	"2"	"2"	"1"	"9"	"9"	"9"	"2"	"2"	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"2"	"9"	"1"	"2"	"1"	"9"	"1"	"9"	"1"	"1"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"1"	"1"	"1"	"1"	"9"	"9"	"9"	"1"	"1"	"2"	"1"	"1"	"2"	"1"
512	"ONTARIO"	"Ontario"	"1924 - 1996"	20	"1948.06.08"	164	"0cd274e4-2adf-47f4-af85-6a4879d11c76"	"WILLIAMS, Arthur"	"Co-operative Commonwealth Federation"	"Union organiser"		0	1								""	"Wales"	""		""	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"99"	"1"	"2"	"9"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"2"	"9"	"2"	"2"	"9"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"1"
