Person ID,Member of Parliament,Political Affiliation,Member Voted,Paired
35607,Harold Albrecht (Kitchener—Conestoga),Conservative,Nay,
89258,John Aldag (Cloverdale—Langley City),Liberal,Yea,
89535,Omar Alghabra (Mississauga Centre),Liberal,Yea,
25446,Dean Allison (Niagara West),Conservative,,Paired
1795,David Anderson (Cypress Hills—Grasslands),Conservative,Nay,
25470,Charlie Angus (Timmins—James Bay),NDP,Yea,
89294,Mel Arnold (North Okanagan—Shuswap),Conservative,Nay,
36037,Niki Ashton (Churchill—Keewatinook Aski),NDP,Yea,
71560,Robert Aubin (Trois-Rivières),NDP,Yea,
88419,Ramez Ayoub (Thérèse-De Blainville),Liberal,Yea,
88867,Vance Badawey (Niagara Centre),Liberal,Yea,
1796,Larry Bagnell (Yukon),Liberal,Yea,
25471,Navdeep Bains (Mississauga—Malton),Liberal,Yea,
86261,John Barlow (Foothills),Conservative,Nay,
89090,Sheri Benson (Saskatoon West),NDP,Yea,
96361,Bob Benzen (Calgary Heritage),Conservative,Nay,
59110,Candice Bergen (Portage—Lisgar),Conservative,Nay,
88541,Luc Berthold (Mégantic—L'Érable),Conservative,Nay,
25475,James Bezan (Selkirk—Interlake—Eastman),Conservative,Nay,
35389,Steven Blaney (Bellechasse—Les Etchemins—Lévis),Conservative,Nay,
89147,Randy Boissonnault (Edmonton Centre),Liberal,Yea,
35320,Sylvie Boucher (Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix),Conservative,Nay,
71395,Marjolaine Boutin-Sweet (Hochelaga),NDP,Yea,
88674,John Brassard (Barrie—Innisfil),Conservative,Nay,
88775,Bob Bratina (Hamilton East—Stoney Creek),Liberal,Yea,
71357,Ruth Ellen Brosseau (Berthier—Maskinongé),NDP,Yea,
23915,Guy Caron (Rimouski-Neigette—Témiscouata—Les Basques),NDP,Yea,
25486,Colin Carrie (Oshawa),Conservative,Nay,
51,Bill Casey (Cumberland—Colchester),Liberal,Yea,
88953,Shaun Chen (Scarborough North),Liberal,,Paired
35351,François Choquette (Drummond),NDP,Yea,
88404,Alupa Clarke (Beauport—Limoilou),Conservative,Nay,
89219,Michael Cooper (St. Albert—Edmonton),Conservative,Nay,
88350,Serge Cormier (Acadie—Bathurst),Liberal,Yea,
1804,Rodger Cuzner (Cape Breton—Canso),Liberal,Yea,
89150,Kerry Diotte (Edmonton Griesbach),Conservative,Nay,
71368,Matthew Dubé (Beloeil—Chambly),NDP,Yea,
84660,Emmanuel Dubourg (Bourassa),Liberal,Yea,
35873,Linda Duncan (Edmonton Strathcona),NDP,Yea,
58877,Kirsty Duncan (Etobicoke North),Liberal,Yea,
71553,Pierre-Luc Dusseault (Sherbrooke),NDP,Yea,
88780,Scott Duvall (Hamilton Mountain),NDP,Yea,
88721,Julie Dzerowicz (Davenport),Liberal,Yea,
48292,Jim Eglinski (Yellowhead),Conservative,Nay,
88515,Fayçal El-Khoury (Laval—Les Îles),Liberal,Yea,
88683,Neil Ellis (Bay of Quinte),Liberal,Yea,
98749,Rosemarie Falk (Battlefords—Lloydminster),Conservative,Nay,
88325,Andy Fillmore (Halifax),Liberal,Yea,
88316,Sean Fraser (Central Nova),Liberal,Yea,
89279,Stephen Fuhr (Kelowna—Lake Country),Liberal,Yea,
1809,Cheryl Gallant (Renfrew—Nipissing—Pembroke),Conservative,Nay,
10524,Marc Garneau (Notre-Dame-de-Grâce—Westmount),Liberal,Yea,
71995,Randall Garrison (Esquimalt—Saanich—Sooke),NDP,Yea,
63908,Bernard Généreux (Montmagny—L'Islet—Kamouraska—Rivière-du-Loup),Conservative,Nay,
89407,Joël Godin (Portneuf—Jacques-Cartier),Conservative,Nay,
89370,Pamela Goldsmith-Jones (West Vancouver—Sunshine Coast—Sea to Sky Country),Liberal,Yea,
89274,Ken Hardie (Fleetwood—Port Kells),Liberal,Yea,
88370,T.J. Harvey (Tobique—Mactaquac),Liberal,Yea,
98075,Richard Hébert (Lac-Saint-Jean),Liberal,Yea,
89111,Kent Hehr (Calgary Centre),Liberal,Yea,
25508,Mark Holland (Ajax),Liberal,Yea,
88558,Anthony Housefather (Mount Royal),Liberal,Yea,
89020,Ahmed Hussen (York South—Weston),Liberal,Yea,
88292,Gudie Hutchings (Long Range Mountains),Liberal,Yea,
71337,Angelo Iacono (Alfred-Pellan),Liberal,Yea,
89167,Matt Jeneroux (Edmonton Riverbend),Conservative,Nay,
89263,Gord Johns (Courtenay—Alberni),NDP,Yea,
13218,Yvonne Jones (Labrador),Liberal,Yea,
16399,Peter Julian (New Westminster—Burnaby),NDP,Yea,
89130,Pat Kelly (Calgary Rocky Ridge),Conservative,Nay,
35699,Peter Kent (Thornhill),Conservative,Nay,
35857,Mike Lake (Edmonton—Wetaskiwin),Conservative,Nay,
30552,Kevin Lamoureux (Winnipeg North),Liberal,Yea,
88601,Linda Lapointe (Rivière-des-Mille-Îles),Liberal,Yea,
71434,Hélène Laverdière (Laurier—Sainte-Marie),NDP,Yea,
88460,Diane Lebouthillier (Gaspésie—Les Îles-de-la-Madeleine),Liberal,Yea,
88973,Paul Lefebvre (Sudbury),Liberal,Yea,
88894,Andrew Leslie (Orléans),Liberal,,Paired
89018,Michael Levitt (York Centre),Liberal,Yea,
89139,Ron Liepert (Calgary Signal Hill),Conservative,Nay,
88532,Joël Lightbound (Louis-Hébert),Liberal,Yea,
88368,Wayne Long (Saint John—Rothesay),Liberal,Yea,
88761,Lloyd Longfield (Guelph),Liberal,Yea,
33,Lawrence MacAulay (Cardigan),Liberal,Yea,
88544,Simon Marcil (Mirabel),Bloc Québécois,Nay,
