Member of Parliament,Political Affiliation,Member Voted,Paired
Mr. Jim Abbott (Kootenay—Columbia),Conservative,Nay,
Mrs. Diane Ablonczy (Calgary—Nose Hill),Conservative,Nay,
Mr. Harold Albrecht (Kitchener—Conestoga),Conservative,Nay,
Mr. Omar Alghabra (Mississauga—Erindale),Liberal,Yea,
Mr. Mike Allen (Tobique—Mactaquac),Conservative,Nay,
Ms. Rona Ambrose (Edmonton—Spruce Grove),Conservative,Nay,
Mr. Rob Anders (Calgary West),Conservative,Nay,
Mr. David Anderson (Cypress Hills—Grasslands),Conservative,Nay,
Mr. Charlie Angus (Timmins—James Bay),NDP,Nay,
Mr. André Arthur (Portneuf—Jacques-Cartier),Independent,Nay,
Mr. Gérard Asselin (Manicouagan),Bloc Québécois,Nay,
Mr. Alex Atamanenko (British Columbia Southern Interior),NDP,Nay,
Mr. Claude Bachand (Saint-Jean),Bloc Québécois,Nay,
Mr. Larry Bagnell (Yukon),Liberal,Yea,
Mr. John Baird (Ottawa West—Nepean),Conservative,Nay,
Mrs. Vivian Barbot (Papineau),Bloc Québécois,Nay,
Mrs. Sue Barnes (London West),Liberal,Yea,
Mr. Dave Batters (Palliser),Conservative,Nay,
Ms. Colleen Beaumier (Brampton West),Liberal,Yea,
Mr. Mauril Bélanger (Ottawa—Vanier),Liberal,Yea,
Mr. Don Bell (North Vancouver),Liberal,Yea,
Ms. Catherine Bell (Vancouver Island North),NDP,Nay,
Mr. André Bellavance (Richmond—Arthabaska),Bloc Québécois,Nay,
Mr. Maurizio Bevilacqua (Vaughan),Liberal,Yea,
Mr. Dennis Bevington (Western Arctic),NDP,Nay,
Mr. James Bezan (Selkirk—Interlake),Conservative,Nay,
Mr. Bernard Bigras (Rosemont—La Petite-Patrie),Bloc Québécois,Nay,
Ms. Dawn Black (New Westminster—Coquitlam),NDP,Nay,
Mr. Jean-Pierre Blackburn (Jonquière—Alma),Conservative,Nay,
Mr. Raynald Blais (Gaspésie—Îles-de-la-Madeleine),Bloc Québécois,Nay,
Mr. Raymond Bonin (Nickel Belt),Liberal,Yea,
Ms. France Bonsant (Compton—Stanstead),Bloc Québécois,Nay,
Mr. Ken Boshcoff (Thunder Bay—Rainy River),Liberal,Yea,
Mr. Robert Bouchard (Chicoutimi—Le Fjord),Bloc Québécois,Nay,
Mrs. Sylvie Boucher (Beauport—Limoilou),Conservative,Nay,
Ms. Diane Bourgeois (Terrebonne—Blainville),Bloc Québécois,Nay,
Mr. Garry Breitkreuz (Yorkton—Melville),Conservative,Nay,
Mr. Scott Brison (Kings—Hants),Liberal,Yea,
Ms. Bonnie Brown (Oakville),Liberal,Yea,
Mr. Gordon Brown (Leeds—Grenville),Conservative,Nay,
Mr. Patrick Brown (Barrie),Conservative,Nay,
Mr. Rod Bruinooge (Winnipeg South),Conservative,Nay,
Ms. Paule Brunelle (Trois-Rivières),Bloc Québécois,Nay,
Mr. Gerry Byrne (Humber—St. Barbe—Baie Verte),Liberal,Yea,
Mr. Blaine Calkins (Wetaskiwin),Conservative,Nay,
Mr. Lawrence Cannon (Pontiac),Conservative,Nay,
Mr. Colin Carrie (Oshawa),Conservative,Nay,
Mr. Robert Carrier (Alfred-Pellan),Bloc Québécois,Nay,
Mr. Bill Casey (Cumberland—Colchester—Musquodoboit Valley),Independent,Nay,
Mr. Rick Casson (Lethbridge),Conservative,Nay,
Mr. Raymond Chan (Richmond),Liberal,Yea,
Mr. Michael Chong (Wellington—Halton Hills),Conservative,Nay,
Ms. Olivia Chow (Trinity—Spadina),NDP,Nay,
Mr. David Christopherson (Hamilton Centre),NDP,Nay,
Mr. Denis Coderre (Bourassa),Liberal,Yea,
Mr. Joe Comartin (Windsor—Tecumseh),NDP,Nay,
Mr. Joe Comuzzi (Thunder Bay—Superior North),Independent,Nay,
Mr. Paul Crête (Montmagny—L'Islet—Kamouraska—Rivière-du-Loup),Bloc Québécois,Nay,
Ms. Jean Crowder (Nanaimo—Cowichan),NDP,Nay,
Mr. Nathan Cullen (Skeena—Bulkley Valley),NDP,Nay,
Mr. Roy Cullen (Etobicoke North),Liberal,Yea,
Mr. John Cummins (Delta—Richmond East),Conservative,Nay,
Mr. Rodger Cuzner (Cape Breton—Canso),Liberal,Yea,
Mr. Jean-Claude D'Amours (Madawaska—Restigouche),Liberal,Yea,
Mrs. Patricia Davidson (Sarnia—Lambton),Conservative,Nay,
Ms. Libby Davies (Vancouver East),NDP,Nay,
Mr. Stockwell Day (Okanagan—Coquihalla),Conservative,Nay,
Mr. Dean Del Mastro (Peterborough),Conservative,Nay,
Ms. Nicole Demers (Laval),Bloc Québécois,Nay,
Ms. Johanne Deschamps (Laurentides—Labelle),Bloc Québécois,Nay,
Mr. Barry Devolin (Haliburton—Kawartha Lakes—Brock),Conservative,Nay,
Mr. Paul Dewar (Ottawa Centre),NDP,Nay,
Mr. Sukh Dhaliwal (Newton—North Delta),Liberal,Yea,
Mr. Ujjal Dosanjh (Vancouver South),Liberal,Yea,
Senator Norman E. Doyle (St. John's East),Conservative,Nay,
Mr. Ken Dryden (York Centre),Liberal,Yea,
Mr. Gilles Duceppe (Laurier—Sainte-Marie),Bloc Québécois,Nay,
Mr. Rick Dykstra (St. Catharines),Conservative,Nay,
Mr. Wayne Easter (Malpeque),Liberal,Yea,
Mr. David Emerson (Vancouver Kingsway),Conservative,Nay,
Mr. Ken Epp (Edmonton—Sherwood Park),Conservative,Nay,
Mr. Mark Eyking (Sydney—Victoria),Liberal,Yea,
Ms. Meili Faille (Vaudreuil-Soulanges),Bloc Québécois,Nay,
Mr. Ed Fast (Abbotsford),Conservative,Nay,
Mr. Brian Fitzpatrick (Prince Albert),Conservative,Nay,
Mr. Jim Flaherty (Whitby—Oshawa),Conservative,Nay,
Mr. Steven Fletcher (Charleswood—St. James—Assiniboia),Conservative,Nay,
Ms. Raymonde Folco (Laval—Les Îles),Liberal,Yea,
Mrs. Carole Freeman (Châteauguay—Saint-Constant),Bloc Québécois,Nay,
Ms. Christiane Gagnon (Québec),Bloc Québécois,Nay,
Mr. Royal Galipeau (Ottawa—Orléans),Conservative,Nay,
Mrs. Cheryl Gallant (Renfrew—Nipissing—Pembroke),Conservative,Nay,
Mr. Roger Gaudet (Montcalm),Bloc Québécois,Nay,
Mr. John Godfrey (Don Valley West),Liberal,Yea,
Mr. Peter Goldring (Edmonton East),Conservative,Nay,
Mr. Ralph Goodale (Wascana),Liberal,Yea,
Mr. Gary Goodyear (Cambridge),Conservative,Nay,
Mr. Jacques Gourde (Lotbinière—Chutes-de-la-Chaudière),Conservative,Nay,
