Person ID,Member of Parliament,Political Affiliation,Member Voted,Paired
89156,Ziad Aboultaif (Edmonton Manning),Conservative,Nay,
105340,Scott Aitchison (Parry Sound—Muskoka),Conservative,Nay,
72029,Dan Albas (Central Okanagan—Similkameen—Nicola),Conservative,Nay,
89258,John Aldag (Cloverdale—Langley City),Liberal,Yea,
89535,Omar Alghabra (Mississauga Centre),Liberal,Yea,
110339,Shafqat Ali (Brampton Centre),Liberal,Yea,
25446,Dean Allison (Niagara West),Conservative,Nay,
96081,Anita Anand (Oakville),Liberal,Yea,
89449,Gary Anandasangaree (Scarborough—Rouge Park),Liberal,Yea,
25470,Charlie Angus (Timmins—James Bay),NDP,Yea,
89294,Mel Arnold (North Okanagan—Shuswap),Conservative,Nay,
89383,René Arseneault (Madawaska—Restigouche),Liberal,Yea,
88860,Chandra Arya (Nepean),Liberal,Yea,
104586,Jenica Atwin (Fredericton),Liberal,Yea,
105854,Taylor Bachrach (Skeena—Bulkley Valley),NDP,Yea,
88867,Vance Badawey (Niagara Centre),Liberal,Yea,
111067,Parm Bains (Steveston—Richmond East),Liberal,Yea,
105121,Yvan Baker (Etobicoke Centre),Liberal,Yea,
30330,Tony Baldinelli (Niagara Falls),Conservative,Nay,
86261,John Barlow (Foothills),Conservative,Nay,
102275,Michael Barrett (Leeds—Grenville—Thousand Islands and Rideau Lakes),Conservative,Nay,
111023,Lisa Marie Barron (Nanaimo—Ladysmith),NDP,Yea,
88422,Xavier Barsalou-Duval (Pierre-Boucher—Les Patriotes—Verchères),Bloc Québécois,Nay,
104571,Jaime Battiste (Sydney—Victoria),Liberal,Yea,
376,Mario Beaulieu (La Pointe-de-l'Île),Bloc Québécois,Nay,
89236,Terry Beech (Burnaby North—Seymour),Liberal,Yea,
88567,Rachel Bendayan (Outremont),Liberal,Yea,
992,Carolyn Bennett (Toronto—St. Paul's),Liberal,Yea,
496,Stéphane Bergeron (Montarville),Bloc Québécois,Nay,
88541,Luc Berthold (Mégantic—L'Érable),Conservative,Nay,
104622,Sylvie Bérubé (Abitibi—Baie-James—Nunavik—Eeyou),Bloc Québécois,Nay,
25475,James Bezan (Selkirk—Interlake—Eastman),Conservative,Nay,
88449,Marie-Claude Bibeau (Compton—Stanstead),Liberal,Yea,
88934,Chris Bittle (St. Catharines),Liberal,Yea,
89032,Daniel Blaikie (Elmwood—Transcona),NDP,Yea,
88961,Bill Blair (Scarborough Southwest),Liberal,Yea,
104669,Yves-François Blanchet (Beloeil—Chambly),Bloc Québécois,Nay,
